,efm,reaction,dq/dKeq,dlogq/dlogKeq
598,62,r12r,-4.88e-04,-9.74e-04
599,62,r13r,8.20e-04,2.57e-03
600,62,r14r,2.60e-03,2.01e-03
601,62,r15r,3.14e-04,1.01e-02
602,62,r21,0.00e+00,0.00e+00
603,62,r22,0.00e+00,0.00e+00
604,62,r23r,-2.22e-01,-1.41e-02
605,62,r24,0.00e+00,0.00e+00
606,62,r25,0.00e+00,0.00e+00
607,62,r26r,-3.45e-02,-1.55e-02
608,62,r27,0.00e+00,0.00e+00
609,62,r27b,0.00e+00,0.00e+00
610,62,r28r,-2.55e-03,-1.04e-02
611,62,r2r,9.11e-03,3.99e-03
612,62,r4,0.00e+00,0.00e+00
613,62,r40,0.00e+00,0.00e+00
614,62,r41,0.00e+00,0.00e+00
615,62,r5r,4.74e+01,1.21e-02
616,62,r60,0.00e+00,0.00e+00
617,62,r61r,-4.59e-02,-3.77e-04
618,62,r6r,-7.70e-04,-7.44e-03
619,62,r93,0.00e+00,0.00e+00
620,62,rr9,0.00e+00,0.00e+00
621,64,r1,0.00e+00,0.00e+00
622,64,r10a,0.00e+00,0.00e+00
623,64,r10b,0.00e+00,0.00e+00
